Name,Order,Team,_id,imageURL,owner,playerID,price
David Warner,22,Delhi Capitals,6237432cbc98f09d4442ccc3,https://www.cricket.com.au/-/media/Players/Men/International/Australia/ODI/David-Warner-ODI1920.ashx,Eric Wedge-Bull,738,10
Jonny Bairstow,24,Punjab Lions,6237432cbc98f09d4442ccc5,https://www.cricket.com.au/-/media/Players/Men/International/England/Jonny-Bairstow-CWC19.ashx,Alex Bowden,151,9
Mohammed Shami,28,Gujarat Titans,6237432cbc98f09d4442ccc9,https://storage.googleapis.com/cricketimages/Players/HY.png,Alex Bowden,57,5
Nicholas Pooran,30,Sunrisers Hyderabad,6237432cbc98f09d4442cccb,https://www.cricket.com.au/-/media/Players/Men/International/West%20Indies/ODIWC19/Nicholas-Pooran-CWC19.ashx,Tim,736,5
Tymal Mills,34,Mumbai Indians,6237432cbc98f09d4442cccf,https://www.hobarthurricanes.com.au/-/media/Players/Men/Domestic/Perth%20Scorchers/BBL11/Tymal-Mills.ashx,Tim,361,3
Yashasvi Jaiswal,40,Rajasthan Royals,6237432cbc98f09d4442ccd5,https://sagarnandha.com/rajasthanroyalsstaging/uploads/images/players/q0ipaen9cn733zubhl8sdis8l577nw7x.png,Eric Wedge-Bull,6820,1
Kagiso Rabada,48,Punjab Lions,6237432cbc98f09d4442ccdd,https://www.cricket.com.au/-/media/Players/Men/International/South%20Africa/Kagiso-Rabada-CWC19.ashx,Alex Bowden,70,10
Shardul Thakur,50,Delhi Capitals,6237432cbc98f09d4442ccdf,https://iplstatic.s3.amazonaws.com/players/284/1745.png,Tim,60,1
Harshal Patel,52,Royal Challengers Bangalore,6237432cbc98f09d4442cce1,https://www.royalchallengers.com/PRRCB01/public/2021-04/Harshal%20800%20x%201200.png,Stark,2744,5
Kane Williamson,54,Sunrisers Hyderabad,6237432cbc98f09d4442cce3,https://www.cricket.com.au/-/media/Players/Men/International/New%20Zealand/ODI%201920/Kane-Williamson-1920.ashx,Tim,220,3
